slug,theorem,display_title,family,bounty_usd,bounty_alpha,bounty_available,attempts,tractability,defect_signs,ams,url,lean_type,formalized_task_id,counterexample_task_id
green33-green-33,Green33.green_33,Green's open problem 33,greens-open-problems,3809.84,6314.50112,True,0,5.0,nat_domain|asymptotic|existential,5|11,https://conjectures.io/problems/green33-green-33,"True ↔ ∀ (ε : ℝ), 0 < ε → ∃ᶠ (q : ℕ+) in Filter.atTop, ∃ A, A + A = Finset.univ ∧ |↑A.card / √↑↑q - √2| < ε",fc-8432eac9-green33-green-33-9f25656c49-formalized-v1,fc-8432eac9-green33-green-33-af53f1b577-counterexample-v1
erdos184-erdos-184,Erdos184.erdos_184,Erdős problem 184,erdos,3809.84,6314.50112,True,0,4.5,asymptotic|graph|existential,5,https://conjectures.io/problems/erdos184-erdos-184,"∃ f,
  (f =O[Filter.atTop] fun n => ↑n) ∧
    ∀ {V : Type u_1} [inst : Fintype V] [DecidableEq V] (G : SimpleGraph V),
      ∃ D, (∀ H ∈ D, Erdos184.IsCycleOrEdge H.coe) ∧ Erdos184.IsDecomposition G D ∧ ↑D.card ≤ f (Fintype.card V)",fc-8432eac9-erdos184-erdos-184-68b896c7e6-formalized-v1,fc-8432eac9-erdos184-erdos-184-44f7f0e81f-counterexample-v1
erdos23-erdos-23,Erdos23.erdos_23,Erdős problem 23,erdos,3809.84,6314.50112,True,0,4.5,nat_domain|graph|existential,5,https://conjectures.io/problems/erdos23-erdos-23,"True ↔
  ∀ (n : ℕ) (V : Type) [inst : Fintype V],
    Fintype.card V = 5 * n →
      ∀ (G : SimpleGraph V), G.CliqueFree 3 → ∃ H ≤ G, H.IsBipartite ∧ (G.edgeFinset \ H.edgeFinset).card ≤ n ^ 2",fc-8432eac9-erdos23-erdos-23-1aa3d61210-formalized-v1,fc-8432eac9-erdos23-erdos-23-61cfcaa2cc-counterexample-v1
erdos579-erdos-579,Erdos579.erdos_579,Erdős problem 579,erdos,3809.84,6314.50112,True,0,4.5,nat_domain|asymptotic|graph|existential,5,https://conjectures.io/problems/erdos579-erdos-579,"True ↔
  ∀ (δ : ℝ),
    0 < δ →
      ∃ c,
        0 < c ∧
          ∀ᶠ (n : ℕ) in Filter.atTop,
            ∀ (G : SimpleGraph (Fin n)),
              Erdos579.octahedron.Free G → δ * ↑n ^ 2 ≤ ↑G.edgeFinset.card → c * ↑n ≤ ↑G.indepNum",fc-8432eac9-erdos579-erdos-579-79b38fe2b9-formalized-v1,fc-8432eac9-erdos579-erdos-579-e0f62bf499-counterexample-v1
erdos686-erdos-686-variants-four,Erdos686.erdos_686.variants.four,Erdős problem 686 - four,erdos,3809.84,6314.50112,True,0,4.5,bounded_finite_range|existential,11,https://conjectures.io/problems/erdos686-erdos-686-variants-four,"True ↔ ∃ k ≥ 2, ∃ n, ∃ m ≥ n + k, 4 = ↑(∏ i ∈ Finset.Icc 1 k, (m + i)) / ↑(∏ i ∈ Finset.Icc 1 k, (n + i))",fc-8432eac9-variants-four-ae7cfb4a62-formalized-v1,fc-8432eac9-variants-four-ecbc35a890-counterexample-v1
erdos887-erdos-887-parts-ii,Erdos887.erdos_887.parts.ii,Erdős problem 887 - part ii,erdos,3809.84,6314.50112,True,0,4.5,nat_domain|asymptotic|existential,11,https://conjectures.io/problems/erdos887-erdos-887-parts-ii,"∃ K, ∀ C > 0, ∀ᶠ (n : ℕ) in Filter.atTop, {d ∈ Finset.Ioo ⌊√↑n⌋₊ ⌈√↑n + C * ↑n ^ (1 / 4)⌉₊ | d ∣ n}.card ≤ K",fc-8432eac9-parts-ii-a5eb23eb3e-formalized-v1,fc-8432eac9-parts-ii-b1f4514960-counterexample-v1
green60-green-60,Green60.green_60,Green's open problem 60,greens-open-problems,3809.84,6314.50112,True,0,4.5,nat_domain|existential,11,https://conjectures.io/problems/green60-green-60,"True ↔ ∃ c > 0, ∀ (A : Finset ℕ), (∀ a ∈ A, IsSquare a) → 2 ≤ A.card → ↑(A + A).card ≥ ↑A.card ^ (1 + c)",fc-8432eac9-green60-green-60-8805fc8b57-formalized-v1,fc-8432eac9-green60-green-60-b2f26c7242-counterexample-v1
green9-green-9-iii,Green9.green_9_iii,Green's open problem 9 - iii,greens-open-problems,3809.84,6314.50112,True,0,4.5,asymptotic|existential,5,https://conjectures.io/problems/green9-green-9-iii,"True ↔ ∃ c > 0, (fun n => ↑(Finset.maxAPFreeCard 4 Finset.univ)) =O[Filter.atTop] fun n => (5 ^ n) ^ (1 - c)",fc-8432eac9-green9-green-9-iii-60bb9bceba-formalized-v1,fc-8432eac9-green9-green-9-iii-5562a9f5b4-counterexample-v1
green62-green-62,Green62.green_62,Green's open problem 62,greens-open-problems,3809.84,6314.50112,True,0,4.0,nat_domain|asymptotic|bounded_finite_range|existential,11,https://conjectures.io/problems/green62-green-62,"True ↔
  ∀ᶠ (p : ℕ) in Filter.atTop,
    Nat.Prime p →
      have A := Finset.filter Nat.Prime (Finset.range p);
      ∀ (x : ℕ), 1 ≤ x ∧ x < p → ∃ a₁ ∈ A, ∃ a₂ ∈ A, ↑x = ↑a₁ * ↑a₂",fc-8432eac9-green62-green-62-1773198c8e-formalized-v1,fc-8432eac9-green62-green-62-0ab233abc8-counterexample-v1
erdos100-erdos-100,Erdos100.erdos_100,Erdős problem 100,erdos,3809.84,6314.50112,True,0,3.5,nat_domain|asymptotic|existential,52,https://conjectures.io/problems/erdos100-erdos-100,"True ↔
  ∃ C > 0,
    ∀ᶠ (n : ℕ) in Filter.atTop,
      ∀ (A : Finset (EuclideanSpace ℝ (Fin 2))), A.card = n → Erdos100.DistancesSeparated A → Metric.diam ↑A > C * ↑n",fc-8432eac9-erdos100-erdos-100-a062cf83b1-formalized-v1,fc-8432eac9-erdos100-erdos-100-7fa9be975a-counterexample-v1
